id,timesteps,success,failure_type,timestamp,steps,duration,final_dist
1770823537_632443_0,2026-02-11 10:26:00,False,dropped_can,248,15.2306969165802,0.1831584050603722
1770823537_632443_1,2026-02-11 10:26:39,False,wrong_bin,537,31.70392155647278,0.18475971047631712
1770823537_632443_2,2026-02-11 10:27:29,False,wrong_bin,740,42.798521995544434,0.260903241260089
1770823734_0816677_0,2026-02-11 10:29:13,True,,331,19.05777931213379,0.12422924293265786
1770823734_0816677_1,2026-02-11 10:29:35,True,,360,21.119720697402954,0.11228197471484438
1770830575_996164_0,2026-02-11 12:23:18,True,,355,22.473154306411743,0.12090499936454001
1770830575_996164_1,2026-02-11 12:23:41,True,,351,22.06906223297119,0.11993492507723552
1770831863_7104886_0,2026-02-11 12:44:42,True,,309,18.286194801330566,0.12496607634566
1770831863_7104886_1,2026-02-11 12:45:02,False,dropped_can,219,12.125524520874023,0.18389514290124417
1770831863_7104886_2,2026-02-11 12:49:50,False,arm_too_close,395,23.087472200393677,0.161252643283154
1770831863_7104886_3,2026-02-11 12:50:04,True,,231,13.360035181045532,0.13479052003748027
1770831863_7104886_4,2026-02-11 12:50:27,True,,375,22.141794443130493,0.12607061391253044
1770832313_135356_0,2026-02-11 12:52:36,False,wrong_bin,489,27.091172218322754,0.16942321059925877
1770832313_135356_1,2026-02-11 12:53:07,False,wrong_bin,477,26.289658069610596,0.18370105822189495
1770832525_0191567_0,2026-02-11 12:55:43,True,,311,17.784618854522705,0.1248763828804172
1770832525_0191567_1,2026-02-11 12:56:21,False,wrong_bin,556,31.802279472351074,0.2003916439309836
1770832614_41598_0,2026-02-11 12:57:16,False,dropped_can,328,18.932806968688965,0.20809622522168
1770832614_41598_1,2026-02-11 12:57:32,True,,284,15.651686429977417,0.12265769046308454
1770832614_41598_2,2026-02-11 12:57:50,True,,307,17.781919717788696,0.1245456205591263
1770832614_41598_3,2026-02-11 12:58:14,False,dropped_can,340,19.898058891296387,0.2090605933663225
1770832614_41598_4,2026-02-11 12:58:26,True,,193,11.770849227905273,0.1203845874246136
1770832614_41598_5,2026-02-11 12:59:11,False,dropped_can,528,30.57130193710327,0.8304586038430609
1770832614_41598_6,2026-02-11 12:59:29,True,,303,17.414507150650024,0.12762337036525534
1770832614_41598_7,2026-02-11 12:59:44,True,,241,14.20253324508667,0.12004448525046296
1770832614_41598_8,2026-02-11 13:00:05,True,,348,20.615947008132935,0.2060698200479706
1770832614_41598_9,2026-02-11 13:00:26,False,dropped_can,284,16.06416964530945,0.21173394173516433
1770832614_41598_10,2026-02-11 13:01:09,False,can_on_bin_edge,536,30.876100063323975,0.2296228181008844
1770832614_41598_11,2026-02-11 13:01:25,True,,259,15.416798114776611,0.1219079504815128
1770832614_41598_12,2026-02-11 13:01:47,False,dropped_can,312,17.793508768081665,0.36270299195887606
1770832614_41598_13,2026-02-11 13:02:10,False,dropped_can,324,19.254015684127808,0.20407401715073248
1770832614_41598_14,2026-02-11 13:02:29,False,dropped_can,267,16.000094652175903,0.20087346616237822
1770832614_41598_15,2026-02-11 13:02:47,True,,306,17.97230339050293,0.12646110973809813
1770832614_41598_16,2026-02-11 13:03:01,True,,234,13.003496885299683,0.126233500598284
1770832614_41598_17,2026-02-11 13:03:38,False,can_on_bin_edge,552,32.32324171066284,0.22436467502595253
1770832614_41598_18,2026-02-11 13:03:58,True,,335,19.329667329788208,0.12473407273211717
1770832614_41598_19,2026-02-11 13:04:14,True,,263,15.018228530883789,0.12442249480071388
